"Name","Symbol","Last","Open","High","Low","Chg.","Chg. %","Vol.","Time"
"Commerzbank AG O.N.","CBKG","3.250","3.170","3.300","3.155","+0.150","+4.84%","4,361,287","05:59:42"
"Thyssenkrupp AG O.N.","TKAG","4.660","4.620","4.720","4.570","+0.072","+1.57%","871,524","05:59:45"
"Rheinmetall AG","RHMG.DE","59.300","59.860","60.260","58.820","+0.300","+0.51%","49,872","05:44:00"
"Lanxess AG","LXSG","35.410","35.120","35.860","34.890","+0.530","+1.52%","43,128","05:59:43"
"Freenet AG NA","FNTGn","15.785","16.297","16.310","15.748","-0.015","-0.09%","104,096","05:59:35"
"Fraport AG","FRAG","37.840","38.080","38.140","37.450","+0.490","+1.31%","93,037","05:59:35"
"GEA Group AG","G1AG","18.688","18.290","19.008","18.227","+0.423","+2.32%","138,205","05:59:32"
"Hannover Rueck SE","HNRGn.DE","127.40","128.20","128.20","124.90","+2.20","+1.76%","48,121","05:44:00"
"Software AG","SOWGn","26.730","27.270","27.380","26.550","-0.400","-1.47%","41,727","05:59:28"
"Hochtief AG","HOTG.DE","59.95","59.65","60.25","59.00","+1.20","+2.04%","68,787","05:44:00"
"Aurubis AG","NAFG.DE","39.100","37.720","39.290","37.720","+1.080","+2.84%","73,483","05:40:00"
"K+S AG NA O.N.","SDFGn","5.565","5.270","5.571","5.270","+0.363","+6.98%","528,049","05:58:49"
"Aareal Bank AG","ARLG.DE","14.650","14.650","14.880","14.410","-0.090","-0.61%","106,275","05:44:00"
"Symrise AG Inh. O.N.","SY1G","84.370","84.640","86.220","83.690","-0.950","-1.11%","130,264","05:59:36"
"Qiagen NV","QIA","36.805","36.920","36.965","36.435","-0.110","-0.30%","146,358","05:59:39"
"United Internet AG NA","UTDI.DE","26.000","26.210","26.800","25.690","0.000","0.00%","134,361","05:44:00"
"Morphosys AG O.N.","MORG","89.070","90.030","90.950","88.220","-0.750","-0.84%","37,462","05:59:25"
"Hugo Boss AG NA O.N.","BOSSn.DE","22.470","22.100","22.630","22.030","+0.450","+2.04%","78,821","05:43:00"
"Brenntag AG","BNRGn.DE","33.030","33.020","33.230","32.390","+0.240","+0.73%","60,712","05:44:00"
"Fuchs Petrolub AG VZO Pref","FPEG_p","29.050","28.700","29.250","28.700","-0.275","-0.94%","39,963","05:55:00"
"Alstria Office Reit-Ag","AOXG.DE","12.520","12.610","12.720","12.240","0.000","0.00%","87,778","05:43:00"
"CTS Eventim AG","EVDG.DE","37.540","38.880","38.980","37.200","-1.700","-4.33%","138,752","05:44:00"
"Grenke N AG","GLJn.DE","50.60","51.10","52.45","49.98","+0.60","+1.20%","28,036","05:43:00"
"Tag Immobilien AG","TEGG.DE","17.830","17.760","17.980","17.530","-0.070","-0.39%","88,009","05:41:00"
"Evotec AG O.N.","EVTG.DE","20.550","20.750","20.990","20.300","+0.020","+0.10%","279,081","05:44:00"
"Cancom SE O.N.","COKG.DE","38.760","37.760","38.920","37.660","+0.980","+2.59%","29,706","05:43:00"
"CompuGroup Medical AG O.N.","COPMa.DE","62.000","56.600","62.550","56.250","+5.950","+10.62%","151,965","05:44:00"
"Metro AG","CEC1_p.DE","2.620","2.620","2.620","2.620","0.000","0.00%","-","30/03"
"Nemetschek AG O.N.","NEKG.DE","42.700","43.040","43.100","41.820","-0.500","-1.16%","156,874","05:44:00"
"Deutsche Wohnen AG","DWNG.DE","34.160","35.000","35.190","33.930","-0.410","-1.19%","219,531","05:44:00"
"Carl Zeiss Meditec AG","AFXG.DE","83.400","86.000","87.150","81.750","-2.700","-3.14%","107,703","05:44:00"
"Gerresheimer AG","GXIG.DE","61.000","60.750","61.400","59.400","+1.300","+2.18%","35,749","05:44:00"
"Rational AG","RAAG.DE","459.40","468.40","469.20","459.40","-11.00","-2.34%","3,075","05:43:00"
"Prosiebensat 1 Media AG","PSMGn.DE","6.8480","6.6200","6.9600","6.5820","+0.2400","+3.63%","607,773","05:44:00"
"Bechtle AG","BC8G.DE","111.900","115.900","116.000","111.200","-1.800","-1.58%","19,527","05:44:00"
"Duerr AG","DUEG.DE","17.830","17.990","18.290","17.620","-0.140","-0.78%","74,628","05:39:00"
"LEG Immobilien AG","LEGn.DE","100.560","101.120","102.800","99.830","-0.440","-0.44%","22,308","05:44:00"
"Telefonica Deutschland Holding AG","O2Dn.DE","2.264","2.304","2.322","2.254","+0.005","+0.22%","1,019,578","05:44:00"
"RTL Group SA","RRTL.DE","30.720","30.580","31.320","30.580","+0.320","+1.05%","18,236","05:39:00"
"Evonik Industries AG","EVKn.DE","18.945","18.445","19.035","18.350","+0.570","+3.10%","218,013","05:44:00"
"Kion Group AG","KGX.DE","38.31","38.48","38.80","37.83","+0.62","+1.64%","67,949","05:43:00"
"Zalando SE","ZALG.DE","33.61","34.49","35.07","33.53","-0.55","-1.61%","75,594","05:43:00"
"Rocket Internet","RKET","18.61","18.86","19.00","18.28","-0.46","-2.41%","38,357","05:48:24"
"Hella KGaA Hueck & Co","HLE.DE","25.52","25.14","26.44","24.82","+0.22","+0.87%","62,413","05:44:00"
"Siltronic AG","WAFGn.DE","66.020","66.320","66.660","65.160","-0.480","-0.72%","29,314","05:43:00"
"Deutsche Pfandbriefbank AG","PBBG.DE","6.60","6.70","6.74","6.50","-0.05","-0.75%","299,703","05:42:00"
"Puma SE","PUMG","52.46","52.48","53.59","51.15","-0.04","-0.08%","134,017","05:59:40"
"Scout24 AG","G24n.DE","53.500","53.900","54.050","52.700","+0.150","+0.28%","45,789","05:44:00"
"Aroundtown SA","AT1.DE","4.164","4.306","4.364","4.101","-0.120","-2.80%","2,317,225","05:44:00"
"Grand City Properties SA","GYC.DE","18.53","18.56","18.77","18.40","-0.14","-0.75%","78,653","05:44:00"
"Sartorius AG","SATG.DE","205.00","204.00","209.00","203.00","+5.00","+2.50%","552","05:30:00"
"Airbus Group SE","AIRG.DE","54.10","54.70","54.92","52.56","+1.80","+3.44%","134,526","05:44:00"
"Osram Licht AG","OSRn.DE","31.05","30.97","32.74","30.83","+0.15","+0.49%","71,345","05:43:00"
"Uniper SE","UN01.DE","21.320","21.740","21.740","21.140","-0.220","-1.02%","95,565","05:44:00"
"Delivery Hero AG","DHER.DE","66.12","68.46","69.74","64.76","-2.14","-3.14%","74,707","05:44:00"
"Varta AG","VAR1.DE","61.550","62.600","63.300","60.600","-0.750","-1.20%","90,776","05:43:00"
"HelloFresh SE","HFGG.DE","29.86","30.00","30.28","29.50","+0.24","+0.81%","262,371","05:44:00"
"Siemens Healthineers AG","SHLG.DE","35.41","36.36","36.50","35.35","-0.57","-1.60%","68,437","05:44:00"
"Knorr-Bremse AG","KBX.DE","79.97","81.36","82.68","79.62","-0.87","-1.08%","52,055","05:44:00"
"TeamViewer AG","TMV.DE","36.65","37.24","37.24","36.36","-0.76","-2.02%","99,376","05:44:00"
"Wirecard AG","WDIG","102.190","101.640","102.470","99.635","+1.905","+1.90%","549,707","05:59:39"
"Siemens AG Class N","SIEGn","75.77","73.92","76.05","73.73","+2.21","+3.00%","1,047,561","05:59:45"
"Volkswagen AG","VOWG","117.45","116.35","118.90","115.50","+2.55","+2.22%","17,784","05:59:42"
"Vonovia SE","VNAn.DE","43.53","44.06","44.15","43.25","-0.40","-0.91%","395,683","05:44:00"
"Muench. Rueckvers. VNA O.N.","MUVGn","176.30","176.13","178.15","173.83","+1.92","+1.10%","216,139","05:59:43"
"SAP SE","SAPG","96.920","98.480","98.660","96.240","-0.460","-0.47%","795,656","05:59:45"
"RWE AG ST O.N.","RWEG","22.400","22.730","22.730","22.230","-0.320","-1.41%","882,470","05:59:45"
"MTU Aero Engines NA O.N.","MTXGn","116.95","119.17","121.15","115.65","-2.95","-2.46%","221,703","05:59:39"
"Merck & Company Inc","MRK.DE","68.800","68.800","68.800","68.800","+1.000","+1.47%","45","04:07:00"
"Linde PLC","LINI.DE","149.750","151.200","151.550","148.500","-2.650","-1.74%","476,893","05:44:00"
"Infineon Technologies AG NA O.N.","IFXGn","12.965","12.900","13.001","12.590","+0.185","+1.45%","3,306,304","05:59:45"
"Henkel AG & Co KGAA ST O.N.","HNKG.DE","65.60","65.45","66.10","64.25","-0.05","-0.08%","32,365","05:40:00"
"Fresenius Medical Care KGAA ST","FMEG","58.380","60.710","61.180","58.360","-1.890","-3.14%","308,353","05:59:41"
"Fresenius SE & Co KGAA O.N.","FREG","33.835","33.930","34.360","33.480","+0.210","+0.62%","615,439","05:59:43"
"Heidelbergcement AG O.N.","HEIG","39.510","38.560","39.645","38.315","+0.860","+2.23%","344,453","05:59:44"
"Deutsche Post AG NA O.N.","DPWGn","24.415","24.120","24.600","23.805","+0.710","+3.00%","1,243,874","05:59:42"
"Deutsche Telekom AG Na","DTEGn","11.508","11.610","11.895","11.495","+0.026","+0.23%","4,701,842","05:59:45"
"E.ON SE NA","EONGn","8.948","9.172","9.172","8.915","-0.132","-1.45%","2,833,443","05:59:45"
"Deutsche Lufthansa AG","LHAG","8.060","8.080","8.180","7.970","+0.040","+0.50%","5,270,890","05:59:42"
"Deutsche Bank AG NA O.N.","DBKGn","5.867","5.630","5.926","5.617","+0.292","+5.24%","7,152,893","05:59:45"
"Deutsche Boerse AG","DB1Gn","118.680","121.330","121.900","117.600","-1.870","-1.55%","162,527","05:59:44"
"Continental AG O.N.","CONG","60.87","60.55","62.98","60.18","-0.09","-0.15%","465,237","05:59:45"
"Daimler AG NA O.N.","DAIGn","25.325","25.780","26.585","25.015","-0.265","-1.04%","2,509,205","05:59:45"
"Covestro AG","1COV.DE","27.140","26.900","27.310","26.700","+0.260","+0.97%","342,553","05:44:00"
"Bayer AG NA","BAYGN","52.77","53.09","53.56","52.47","+0.89","+1.72%","900,995","05:59:43"
"Bayerische Motoren Werke AG","BMWG","45.635","45.140","46.835","45.025","+1.160","+2.61%","902,348","05:59:44"
"Beiersdorf AG O.N.","BEIG","88.470","88.780","89.320","87.880","+0.220","+0.25%","111,242","05:59:45"
"BASF SE NA O.N.","BASFN","41.460","41.410","41.720","41.110","+0.330","+0.80%","1,241,135","05:59:42"
"Allianz SE VNA O.N.","ALVG","153.92","155.00","156.44","153.92","+0.70","+0.46%","586,344","05:59:45"
"Adidas AG","ADSGN","196.95","200.40","201.90","196.57","-1.00","-0.51%","204,044","05:59:42"
